ID,Name,Price,Mark,Model,Diagonal,Processor,The amount of RAM,Videocard,The amount of internal memory
a122,HP 15-BW094nd (A6-9220/8GB/128GB/W10) AMD A6-Series A6-9220 2.5GHz,220194.34,HP,15-BW094nd (A6-9220/8GB/128GB/W10),"15.6""",AMD A6-Series A6-9220 2.5GHz,8GB,AMD Radeon R4 Graphics,128GB SSD
f1,HP Envy 17-U275cl Intel Core i7 8550U 1.8GHz,522955.38,HP,Envy 17-U275cl,"17.3""",Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,1TB HDD
f2,MSI GT73EVR 7RE Intel Core i7 7700HQ 2.8GHz,1234056.18,MSI,GT73EVR 7RE,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,512GB SSD +  1TB HDD
f3,Lenovo Yoga 720-15IKB Intel Core i7 7700HQ 2.8GHz,839000.18,Lenovo,Yoga 720-15IKB,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050M,512GB SSD
f4,Dell Inspiron 5770 Intel Core i7 8550U 1.8GHz,563942.44,Dell,Inspiron 5770,"17.3""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,128GB SSD +  1TB HDD
f5,Lenovo IdeaPad 320-15ISK Intel Core i3 6006U 2GHz,219256.08,Lenovo,IdeaPad 320-15ISK,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,256GB SSD
f6,HP ProBook 450 Intel Core i5 8250U 1.6GHz,356538.04,HP,ProBook 450,"15.6""",Intel Core i5 8250U 1.6GHz,4GB,Intel HD Graphics 620,500GB HDD
f7,Dell Vostro 3568 Intel Core i5 7200U 2.5GHz,324439.74,Dell,Vostro 3568,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,1TB HDD
f8,Dell Inspiron 3567 Intel Core i5 7200U 2.5GHz,279008.30,Dell,Inspiron 3567,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,AMD Radeon R5 M430,1TB HDD
f9,Dell Inspiron 5579 Intel Core i5 8250U 1.6GHz,394562.18,Dell,Inspiron 5579,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
f10,Asus ZenBook Flip Intel Core i7 8550U 1.8GHz,740236.18,Asus,ZenBook Flip,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,512GB SSD +  512GB SSD
f11,Lenovo IdeaPad 320-15IKBN Intel Core i5 7200U 2.5GHz,230613.94,Lenovo,IdeaPad 320-15IKBN,"15.6""",Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,1TB HDD
f12,HP Probook 470 Intel Core i7 8550U 1.8GHz,502708.76,HP,Probook 470,"17.3""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce 930MX ,1TB HDD
f13,Lenovo V330-15IKB (i7-8550U/8GB/256GB/FHD/W10) Intel Core i7 8550U 1.8GHz,434561.60,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
f14,Apple MacBook Pro Intel Core i5 2.9GHz,967344.00,Apple,MacBook Pro,"13.3""",Intel Core i5 2.9GHz,8GB,Intel Iris Graphics 550,512GB SSD
f15,Asus Rog Strix AMD Ryzen 1700 3GHz,764927.18,Asus,Rog Strix,"17.3""",AMD Ryzen 1700 3GHz,16GB,AMD Radeon RX 580,256GB SSD +  1TB HDD
f16,Dell Inspiron 3576 Intel Core i7 8550U 1.8GHz,362992.27,Dell,Inspiron 3576,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 520,256GB SSD
f17,Lenovo ThinkPad X1 Intel Core i7 6600U 2.6GHz,1234056.18,Lenovo,ThinkPad X1,"14.0""",Intel Core i7 6600U 2.6GHz,16GB,Intel HD Graphics 520,512GB SSD
f18,Toshiba Satellite Pro Intel Core i7 6500U 2.5GHz,400981.84,Toshiba,Satellite Pro,"15.6""",Intel Core i7 6500U 2.5GHz,8GB,Nvidia GeForce 930M,500GB HDD
f19,Dell Inspiron 5567 Intel Core i7 7500U 2.7GHz,352128.23,Dell,Inspiron 5567,"15.6""",Intel Core i7 7500U 2.7GHz,12GB,Intel HD Graphics 620,1TB HDD
f20,Dell Inspiron 5770 Intel Core i7 8550U 1.8GHz,542708.18,Dell,Inspiron 5770,"17.3""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,128GB SSD +  1TB HDD
f21,Acer Aspire A515-51G Intel Core i7 8550U 1.8GHz,367895.90,Acer,Aspire A515-51G,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX130,1TB HDD
f22,Lenovo IdeaPad 320-17ISK Intel Core i3 6006U 2GHz,241477.98,Lenovo,IdeaPad 320-17ISK,"17.3""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,1TB HDD
f23,Lenovo IdeaPad 320-17IKBR Intel Core i7 8550U 1.8GHz,419253.18,Lenovo,IdeaPad 320-17IKBR,"17.3""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,2TB HDD
f24,Lenovo IdeaPad 320-17IKB Intel Core i7 7500U 2.7GHz,424191.38,Lenovo,IdeaPad 320-17IKB,"17.3""",Intel Core i7 7500U 2.7GHz,6GB,Nvidia GeForce 940MX,128GB SSD +  1TB HDD
f25,Dell Inspiron 3567 Intel Core i3 6006U 2.0GHz,211354.96,Dell,Inspiron 3567,"15.6""",Intel Core i3 6006U 2.0GHz,4GB,AMD Radeon R5 M430,1TB HDD
f26,Lenovo Legion Y520-15IKBN Intel Core i5 7300HQ 2.5GHz,409376.78,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,256GB SSD
f27,Lenovo Ideapad 320-15IKBN Intel Core i5 7200U 2.5GHz,285921.78,Lenovo,Ideapad 320-15IKBN,"15.6""",Intel Core i5 7200U 2.5GHz,6GB,Intel HD Graphics 620,256GB SSD
f28,Acer Aspire A517-51G Intel Core i7 8550U 1.8GHz,469622.82,Acer,Aspire A517-51G,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Nvidia GeForce MX150,256GB SSD
f29,Acer SP315-51 (i7-7500U/12GB/1TB/FHD/W10) Intel Core i7 7500U 2.7GHz,325427.38,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),"15.6""",Intel Core i7 7500U 2.7GHz,12GB,Intel HD Graphics 620,1TB HDD
f30,Lenovo Thinkpad T570 Intel Core i7 7500U 2.7GHz,541720.54,Lenovo,Thinkpad T570,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 630,256GB SSD
f31,Asus VivoBook S15 Intel Core i5 7200U 2.5GHz,482462.14,Asus,VivoBook S15,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,256GB SSD
f32,Lenovo Legion Y520-15IKBN Intel Core i7 7700HQ 2.8GHz,582213.78,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
f33,Lenovo IdeaPad 320-15IKB Intel Core i7 7500U 2.7GHz,325432.32,Lenovo,IdeaPad 320-15IKB,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,1TB HDD
f34,Acer Chromebook C910-C2ST Intel Celeron Dual Core 3205U 1.5GHz,98270.18,Acer,Chromebook C910-C2ST,"15.6""",Intel Celeron Dual Core 3205U 1.5GHz,2GB,Intel HD Graphics,16GB SSD
f35,Asus FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce Intel Core i7 7700HQ 2.8GHz,586164.34,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,"17.3""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,1TB HDD
f36,HP 17-BS037cl (i3-6006U/8GB/1TB/W10) Intel Core i3 6006U 2GHz,241477.98,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),"17.3""",Intel Core i3 6006U 2GHz,8GB,Intel HD Graphics 520,1TB HDD
f37,Dell XPS 15 Intel Core i7 7700HQ 2.8GHz,903196.78,Dell,XPS 15,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,256GB SSD
f38,Lenovo V330-15IKB (i5-8250U/8GB/256GB/FHD/W10) Intel Core i5 8250U 1.6GHz,364932.98,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),"15.6""",Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,256GB SSD
f39,Lenovo Legion Y720-15IKB Intel Core i7 7700HQ 2.8GHz,641472.18,Lenovo,Legion Y720-15IKB,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1060,1TB HDD
f40,Acer Aspire A715-71G Intel Core i7 7700HQ 2.8GHz,483449.78,Acer,Aspire A715-71G,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,256GB SSD
f41,Dell Precision 7720 Intel Core i7 7820HQ 2.9GHz,1424601.57,Dell,Precision 7720,"17.3""",Intel Core i7 7820HQ 2.9GHz,16GB,Nvidia Quadro M1200,256GB SSD
f42,Lenovo IdeaPad 310-15ABR AMD A10-Series 9600P 2.4GHz,246416.18,Lenovo,IdeaPad 310-15ABR,"15.6""",AMD A10-Series 9600P 2.4GHz,6GB,AMD Radeon R5 430,1TB HDD
f43,Asus ZenBook UX530UQ-PRO Intel Core i7 7500U 2.7GHz,724927.76,Asus,ZenBook UX530UQ-PRO,"15.6""",Intel Core i7 7500U 2.7GHz,16GB,Nvidia GeForce 940MX,512GB SSD
f44,Asus VivoBook S14 Intel Core i3 7100U 2.4GHz,251354.38,Asus,VivoBook S14,"14.0""",Intel Core i3 7100U 2.4GHz,4GB,Intel HD Graphics 620,128GB SSD
f45,Asus Rog GL702VS-GC095T Intel Core i7 7700HQ 2.8GHz,1047886.04,Asus,Rog GL702VS-GC095T,"17.3""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
f46,Lenovo IdeaPad 320-17IKB Intel Core i5 7200U 2.5GHz,320489.18,Lenovo,IdeaPad 320-17IKB,"17.3""",Intel Core i5 7200U 2.5GHz,6GB,Nvidia GeForce GTX 940M,1TB HDD
f47,Lenovo IdeaPad 320-15IKBN Intel Core i5 7200U 2.5GHz,271107.18,Lenovo,IdeaPad 320-15IKBN,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,2TB HDD
f48,Asus GL553VE-FY082T (i7-7700HQ/8GB/1TB Intel Core i7 7700HQ 2.8GHz,624682.30,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,128GB SSD +  1TB HDD
f49,Lenovo IdeaPad 320-15IAP Intel Pentium Quad Core N4200 1.1GHz,177770.26,Lenovo,IdeaPad 320-15IAP,"15.6""",Intel Pentium Quad Core N4200 1.1GHz,4GB,Intel HD Graphics 505,1TB HDD
f50,HP EliteBook x360 Intel Core i7 7600U 2.8GHz,975294.50,HP,EliteBook x360,"13.3""",Intel Core i7 7600U 2.8GHz,16GB,Intel HD Graphics 620,256GB SSD
f51,Toshiba Satellite Pro Intel Core i7 6500U 2.5GHz,515054.26,Toshiba,Satellite Pro,"15.6""",Intel Core i7 6500U 2.5GHz,8GB,Nvidia GeForce 930M,256GB SSD
f52,Lenovo IdeaPad 320-15IKB Intel Core i5 7200U 2.5GHz,404438.58,Lenovo,IdeaPad 320-15IKB,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Nvidia GeForce 940MX,128GB SSD +  1TB HDD
f53,HP 250 G6 Intel Core i3 6006U 2GHz,231601.58,HP,250 G6,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,1TB HDD
f54,Lenovo IdeaPad 720S-13IKB Intel Core i5 7200U 2.5GHz,493326.18,Lenovo,IdeaPad 720S-13IKB,"13.3""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
f55,Dell XPS 13 Intel Core i7 8550U 1.8GHz,1234056.18,Dell,XPS 13,"13.3""",Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,1TB SSD
f56,MSI GE63VR 7RF Intel Core i7 7700HQ 2.8GHz,1036528.18,MSI,GE63VR 7RF,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1070,256GB SSD +  1TB HDD
f57,Acer ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10) AMD A8-Series 7410 2.2GHz,231601.58,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),"15.6""",AMD A8-Series 7410 2.2GHz,8GB,AMD Radeon R5,256GB SSD
f58,Asus VivoBook Flip Intel Celeron Dual Core N3350 1.1GHz,135800.50,Asus,VivoBook Flip,"11.6""",Intel Celeron Dual Core N3350 1.1GHz,2GB,Intel HD Graphics 500,32GB Flash Storage
f59,Dell Inspiron 5570 Intel Core i5 8250U 1.6GHz,416784.08,Dell,Inspiron 5570,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,128GB SSD +  1TB HDD
f60,HP Spectre x360 Intel Core i7 8550U 1.8GHz,1209365.18,HP,Spectre x360,"13.3""",Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,1TB SSD
f61,Lenovo ThinkPad 13 Intel Celeron Dual Core 3855U 1.6GHz,227107.82,Lenovo,ThinkPad 13,"13.3""",Intel Celeron Dual Core 3855U 1.6GHz,4GB,Intel HD Graphics 510,16GB Flash Storage
f62,HP ProBook 640 Intel Core i5 7200U 2.5GHz,483943.60,HP,ProBook 640,"14.0""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
f63,Acer TravelMate B Intel Pentium Quad Core N3710 1.6GHz,239502.70,Acer,TravelMate B,"11.6""",Intel Pentium Quad Core N3710 1.6GHz,4GB,Intel HD Graphics 405,128GB Flash Storage
f64,HP Elitebook 840 Intel Core i7 7500U 2.7GHz,638015.44,HP,Elitebook 840,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD
f65,Lenovo IdeaPad 320-17IKB Intel Core i5 7200U 2.5GHz,290859.98,Lenovo,IdeaPad 320-17IKB,"17.3""",Intel Core i5 7200U 2.5GHz,4GB,Nvidia GeForce 920MX,1TB HDD
f66,Asus ZenBook UX410UA-GV183T Intel Core i7 7500U 2.7GHz,540239.08,Asus,ZenBook UX410UA-GV183T,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD
f67,HP ProBook 450 Intel Core i7 8550U 1.8GHz,445425.64,HP,ProBook 450,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,1TB HDD
f68,Acer Aspire 5 AMD A12-Series 9720P 2.7GHz,325427.38,Acer,Aspire 5,"15.6""",AMD A12-Series 9720P 2.7GHz,8GB,AMD Radeon RX 540,256GB SSD
f69,Lenovo IdeaPad 120S-14IAP Intel Celeron Dual Core N3350 1.1GHz,144195.44,Lenovo,IdeaPad 120S-14IAP,"14.0""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,32GB Flash Storage
f70,Acer Aspire E5-575 Intel Core i5 7200U 2.5GHz,271107.18,Acer,Aspire E5-575,"15.6""",Intel Core i5 7200U 2.5GHz,6GB,Intel HD Graphics 620,1TB HDD
f71,Asus VivoBook S15 Intel Core i7 7500U 2.7GHz,518461.62,Asus,VivoBook S15,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,Nvidia GeForce 940MX,256GB SSD
f72,HP Elitebook 820 Intel Core i7 7500U 2.7GHz,659249.70,HP,Elitebook 820,"12.5""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD
f73,Dell XPS 15 Intel Core i7 7700HQ 2.8GHz,1303190.98,Dell,XPS 15,"15.6""",Intel Core i7 7700HQ 2.8GHz,32GB,Nvidia GeForce GTX 1050,1TB SSD
f74,MSI GL72M 7REX Intel Core i7 7700HQ 2.8GHz,592090.18,MSI,GL72M 7REX,"17.3""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050 Ti,256GB SSD +  1TB HDD
f75,Toshiba Satellite Pro Intel Core i5 7200U 2.5GHz,465672.26,Toshiba,Satellite Pro,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
f76,Asus UX510UX-CN269T (i7-7500U/8GB/256GB Intel Core i7 7500U 2.7GHz,658755.88,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD +  1TB HDD
f77,Lenovo V310-15ISK (i3-6006U/4GB/1TB/FHD/W10) Intel Core i3 6006U 2GHz,221725.18,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,1TB HDD
f78,Asus FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce Intel Core i7 7700HQ 2.8GHz,493326.18,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,256GB SSD
f79,HP EliteBook 840 Intel Core i5 7300U 2.6GHz,626163.76,HP,EliteBook 840,"14.0""",Intel Core i5 7300U 2.6GHz,8GB,Intel HD Graphics 620,256GB SSD
f80,Dell Inspiron 7570 Intel Core i5 8250U 1.6GHz,518017.18,Dell,Inspiron 7570,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 940MX,128GB SSD +  1TB HDD
f81,HP Elitebook 850 Intel Core i5 7200U 2.5GHz,564930.08,HP,Elitebook 850,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
f82,Asus X541NA (N3350/4GB/1TB/Linux) Intel Celeron Dual Core N3350 1.1GHz,135795.56,Asus,X541NA (N3350/4GB/1TB/Linux),"15.6""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,1TB HDD
f83,Dell Inspiron 7570 Intel Core i5 8250U 1.6GHz,564312.80,Dell,Inspiron 7570,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,Nvidia GeForce 940MX,256GB SSD
f84,Dell Inspiron 3552 Intel Celeron Dual Core N3060 1.6GHz,135751.12,Dell,Inspiron 3552,"15.6""",Intel Celeron Dual Core N3060 1.6GHz,4GB,Intel HD Graphics,500GB HDD
f85,Lenovo IdeaPad 320-15ABR AMD A12-Series 9720P 3.6GHz,443944.18,Lenovo,IdeaPad 320-15ABR,"15.6""",AMD A12-Series 9720P 3.6GHz,12GB,AMD Radeon 530,2TB HDD
f86,HP ProBook 450 Intel Core i3 7100U 2.4GHz,353575.12,HP,ProBook 450,"15.6""",Intel Core i3 7100U 2.4GHz,8GB,Nvidia GeForce 930MX ,1TB HDD
f87,Lenovo Yoga 920-13IKB Intel Core i7 8550U 1.8GHz,1036528.18,Lenovo,Yoga 920-13IKB,"13.9""",Intel Core i7 8550U 1.8GHz,16GB,Intel UHD Graphics 620,512GB SSD
f88,Dell XPS 13 Intel Core i7 8550U 1.8GHz,779741.78,Dell,XPS 13,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
f89,Lenovo Legion Y520-15IKBN Intel Core i7 7700HQ 2.8GHz,557522.78,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050 Ti,256GB SSD +  2TB HDD
f90,HP Stream 14-AX001nv Intel Celeron Dual Core N3060 1.6GHz,137775.78,HP,Stream 14-AX001nv,"14.0""",Intel Celeron Dual Core N3060 1.6GHz,2GB,Intel HD Graphics 400,32GB Flash Storage
f91,Dell Latitude 5590 Intel Core i7 8650U 1.9GHz,794042.81,Dell,Latitude 5590,"15.6""",Intel Core i7 8650U 1.9GHz,16GB,Intel UHD Graphics 620,512GB SSD +  256GB SSD
f92,Asus VivoBook Flip Intel Celeron Dual Core N3350 1.1GHz,185182.50,Asus,VivoBook Flip,"11.6""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,32GB Flash Storage
f93,Dell Inspiron 5570 Intel Core i5 8250U 1.6GHz,327402.66,Dell,Inspiron 5570,"15.6""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,1TB HDD
f94,Dell XPS 15 Intel Core i7 7700HQ 2.8GHz,1001180.54,Dell,XPS 15,"15.6""",Intel Core i7 7700HQ 2.8GHz,16GB,Nvidia GeForce GTX 1050,512GB SSD
f95,HP Elitebook 850 Intel Core i7 7500U 2.7GHz,643941.28,HP,Elitebook 850,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD
f96,MSI GP72MVR 7RFX Intel Core i7 7700HQ 2.8GHz,695792.38,MSI,GP72MVR 7RFX,"17.3""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1060,128GB SSD +  1TB HDD
f97,HP Zbook 15 Intel Core i7 7700HQ 2.8GHz,858392.49,HP,Zbook 15,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia Quadro M1200,256GB SSD
f98,Toshiba Tecra A50-C-21G Intel Core i7 6500U 2.5GHz,692829.46,Toshiba,Tecra A50-C-21G,"15.6""",Intel Core i7 6500U 2.5GHz,16GB,Nvidia GeForce 930M,512GB SSD
f99,Dell Inspiron 5570 Intel Core i7 8550U 1.8GHz,479449.84,Dell,Inspiron 5570,"15.6""",Intel Core i7 8550U 1.8GHz,8GB,AMD Radeon 530,128GB SSD +  2TB HDD
f100,Lenovo IdeaPad 320-15IAP Intel Celeron Dual Core N3350 1.1GHz,159005.10,Lenovo,IdeaPad 320-15IAP,"15.6""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,1TB HDD
f101,Dell Inspiron 7577 Intel Core i5 7300HQ 2.5GHz,493326.18,Dell,Inspiron 7577,"15.6""",Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,1TB HDD
f102,Dell Inspiron 3567 Intel Core i5 7200U 2.5GHz,275240.45,Dell,Inspiron 3567,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,2TB HDD
f103,Dell Latitude 7480 Intel Core i5 7300U 2.6GHz,704681.14,Dell,Latitude 7480,"14.0""",Intel Core i5 7300U 2.6GHz,8GB,Intel HD Graphics 620,256GB SSD
f104,HP 250 G6 Intel Core i3 6006U 2GHz,216786.98,HP,250 G6,"15.6""",Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,500GB HDD
f105,Asus Zenbook UX410UA-GV027T Intel Core i5 7200U 2.5GHz,466659.90,Asus,Zenbook UX410UA-GV027T,"14.0""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,256GB SSD
f106,Lenovo IdeaPad 320-17IKB Intel Core i5 7200U 2.5GHz,355056.58,Lenovo,IdeaPad 320-17IKB,"17.3""",Intel Core i5 7200U 2.5GHz,6GB,Nvidia GeForce GTX 940MX,128GB SSD +  1TB HDD
f107,HP 250 G6 Intel Core i5 7200U 2.5GHz,315550.98,HP,250 G6,"15.6""",Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,1TB HDD
f108,Lenovo IdeaPad 320-15ISK Intel Core i3 6006U 2GHz,246416.18,Lenovo,IdeaPad 320-15ISK,"15.6""",Intel Core i3 6006U 2GHz,8GB,Nvidia GeForce 920MX ,256GB SSD
f109,HP 15-AY023na (N3710/8GB/2TB/W10) Intel Pentium Quad Core N3710 1.6GHz,192095.98,HP,15-AY023na (N3710/8GB/2TB/W10),"15.6""",Intel Pentium Quad Core N3710 1.6GHz,8GB,Intel HD Graphics 405,2TB HDD
f110,Dell Inspiron 5770 Intel Core i5 8250U 1.6GHz,535794.70,Dell,Inspiron 5770,"17.3""",Intel Core i5 8250U 1.6GHz,8GB,AMD Radeon 530,128GB SSD +  1TB HDD
f111,Lenovo Legion Y520-15IKBN Intel Core i5 7300HQ 2.5GHz,399500.38,Lenovo,Legion Y520-15IKBN,"15.6""",Intel Core i5 7300HQ 2.5GHz,8GB,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
f112,Dell Inspiron 5567 Intel Core i7 7500U 2.7GHz,443944.18,Dell,Inspiron 5567,"15.6""",Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R7 M445,256GB SSD
f113,HP Elitebook 1040 Intel Core i7 7500U 2.7GHz,864185.00,HP,Elitebook 1040,"14.0""",Intel Core i7 7500U 2.7GHz,8GB,Intel HD Graphics 620,256GB SSD
f114,Asus ZenBook Flip Intel Core i7 7500U 2.7GHz,542708.18,Asus,ZenBook Flip,"15.6""",Intel Core i7 7500U 2.7GHz,12GB,Nvidia GeForce GT 940MX,512GB SSD +  2TB HDD
f115,Acer Aspire 3 AMD A9-Series 9420 3GHz,210367.32,Acer,Aspire 3,"15.6""",AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,128GB SSD
f116,Asus Rog Strix AMD Ryzen 1700 3GHz,1085910.18,Asus,Rog Strix,"17.3""",AMD Ryzen 1700 3GHz,16GB,AMD Radeon RX 580,256GB SSD +  1TB HDD
f117,Lenovo IdeaPad 110-17ACL AMD A8-Series 7410 2.2GHz,241477.98,Lenovo,IdeaPad 110-17ACL,"17.3""",AMD A8-Series 7410 2.2GHz,4GB,AMD Radeon R5,128GB SSD
f118,Dell Inspiron 5379 Intel Core i7 8550U 1.8GHz,429134.52,Dell,Inspiron 5379,"13.3""",Intel Core i7 8550U 1.8GHz,8GB,Intel UHD Graphics 620,256GB SSD
f119,HP 15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10) AMD A9-Series 9420 3GHz,241473.04,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),"15.6""",AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,256GB SSD
f120,Lenovo Yoga 11e Intel Celeron Quad Core N3450 1.1GHz,273082.46,Lenovo,Yoga 11e,"11.6""",Intel Celeron Quad Core N3450 1.1GHz,4GB,Intel HD Graphics 500,128GB SSD
f121,Dell Inspiron 3552 Intel Celeron Dual Core N3060 1.60GHz,152590.38,Dell,Inspiron 3552,"15.6""",Intel Celeron Dual Core N3060 1.60GHz,4GB,Intel HD Graphics 400,500GB HDD
f122,Asus VivoBook E403NA Intel Celeron Dual Core N3350 1.1GHz,141232.52,Asus,VivoBook E403NA,"14.0""",Intel Celeron Dual Core N3350 1.1GHz,4GB,Intel HD Graphics 500,32GB Flash Storage
f123,Acer Aspire 7 Intel Core i7 7700HQ 2.8GHz,417771.72,Acer,Aspire 7,"15.6""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,1TB HDD
f124,HP Omen 17-w212nv Intel Core i7 7700HQ 2.8GHz,588139.62,HP,Omen 17-w212nv,"17.3""",Intel Core i7 7700HQ 2.8GHz,8GB,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
